statenum,casenum,vnumber,pnumber,atmcond,accday,acchr,accmin,accmon,arf1,caseyear,dayofweek,latitude,longitude,manncol,speeding,travspd,dridistract,drivisobs,surfcond
,,,,,,,,,,,,,,,,,,,
48,1,1,1,1,1,1,13,1,0,2016,6,33.08231944,-96.80063611,6,1,998,0,0,98
48,1,2,1,1,1,1,13,1,0,2016,6,33.08231944,-96.80063611,6,1,998,0,0,1
48,1,2,2,1,1,1,13,1,0,2016,6,33.08231944,-96.80063611,6,1,998,0,0,1
48,1,2,3,1,1,1,13,1,0,2016,6,33.08231944,-96.80063611,6,1,998,0,0,1
48,1,2,4,1,1,1,13,1,0,2016,6,33.08231944,-96.80063611,6,1,998,0,0,1
48,1,2,5,1,1,1,13,1,0,2016,6,33.08231944,-96.80063611,6,1,998,0,0,1
48,1,3,1,1,1,1,13,1,0,2016,6,33.08231944,-96.80063611,6,1,0,0,0,1
48,1,3,2,1,1,1,13,1,0,2016,6,33.08231944,-96.80063611,6,1,0,0,0,1
48,2,1,1,10,1,6,45,1,0,2016,6,33.16255833,-95.16188889,0,0,998,0,0,1
48,2,1,2,10,1,6,45,1,0,2016,6,33.16255833,-95.16188889,0,0,998,0,0,1
48,3,1,1,10,1,5,50,1,0,2016,6,29.71379444,-95.50293889,0,0,998,0,0,1
48,4,1,1,1,1,4,8,1,0,2016,6,35.80552778,-102.3509361,2,0,998,93,0,1
48,4,2,1,1,1,4,8,1,0,2016,6,35.80552778,-102.3509361,2,0,998,0,0,1
48,4,2,2,1,1,4,8,1,0,2016,6,35.80552778,-102.3509361,2,0,998,0,0,1
48,5,1,1,10,1,2,0,1,0,2016,6,30.11707778,-94.00832222,0,0,998,0,0,1
48,6,1,1,1,1,21,46,1,0,2016,6,30.68573889,-94.94940278,0,0,998,0,0,1
48,7,1,1,1,1,6,11,1,0,2016,6,34.16070278,-99.29053889,0,0,998,0,0,1
48,8,1,1,2,2,18,51,1,0,2016,7,29.43452222,-98.47810556,0,1,998,0,0,2
48,8,1,2,2,2,18,51,1,0,2016,7,29.43452222,-98.47810556,0,1,998,0,0,2
48,8,1,3,2,2,18,51,1,0,2016,7,29.43452222,-98.47810556,0,1,998,0,0,2
48,9,1,1,2,2,10,16,1,0,2016,7,29.79818056,-98.01818611,0,1,998,0,0,2
48,9,1,2,2,2,10,16,1,0,2016,7,29.79818056,-98.01818611,0,1,998,0,0,2
48,9,1,3,2,2,10,16,1,0,2016,7,29.79818056,-98.01818611,0,1,998,0,0,2
48,9,1,4,2,2,10,16,1,0,2016,7,29.79818056,-98.01818611,0,1,998,0,0,2
48,10,1,1,10,2,15,28,1,0,2016,7,32.96082222,-96.91518333,0,0,998,0,0,1
48,11,1,1,1,2,23,35,1,19,2016,7,32.81568333,-96.92180556,0,0,998,0,0,1
48,12,1,1,10,2,14,0,1,0,2016,7,31.93435,-102.3606861,6,0,998,0,0,98
48,12,2,1,10,2,14,0,1,0,2016,7,31.93435,-102.3606861,6,0,998,0,0,1
48,13,1,1,2,2,21,0,1,0,2016,7,29.77383333,-95.31764722,0,0,998,0,0,2
48,14,1,1,1,3,18,58,1,0,2016,1,29.40682222,-98.52971111,0,0,998,0,0,1
