statenum,casenum,vnumber,pnumber,atmcond,accday,acchr,accmin,accmon,arf1,caseyear,dayofweek,latitude,longitude,manncol,speeding,travspd,dridistract,drivisobs,surfcond
,,,,,,,,,,,,,,,,,,,
48,1,1,1,2,1,18,43,1,0,2015,5,33.41330833,-94.13593056,6,0,998,0,0,2
48,1,2,1,2,1,18,43,1,0,2015,5,33.41330833,-94.13593056,6,0,998,0,0,2
48,2,1,1,2,1,15,4,1,0,2015,5,31.17823056,-97.93814167,0,1,998,0,0,2
48,3,1,1,2,1,3,5,1,0,2015,5,32.67020278,-96.94210278,0,1,998,0,0,2
48,4,1,1,1,1,1,19,1,0,2015,5,31.85618056,-106.5749389,0,0,998,0,0,1
48,4,1,2,1,1,1,19,1,0,2015,5,31.85618056,-106.5749389,0,0,998,0,0,1
48,5,2,1,1,1,18,27,1,15,2015,5,31.73853056,-106.361875,0,0,998,0,0,1
48,6,1,1,2,1,18,20,1,0,2015,5,29.60831944,-95.49796111,0,0,998,0,0,2
48,7,1,1,10,1,19,6,1,0,2015,5,29.40803333,-94.940025,0,0,998,0,0,2
48,8,1,1,10,1,0,30,1,0,2015,5,29.84215278,-97.91304444,0,1,998,0,0,1
48,8,1,2,10,1,0,30,1,0,2015,5,29.84215278,-97.91304444,0,1,998,0,0,1
48,8,1,3,10,1,0,30,1,0,2015,5,29.84215278,-97.91304444,0,1,998,0,0,1
48,8,1,4,10,1,0,30,1,0,2015,5,29.84215278,-97.91304444,0,1,998,0,0,1
48,9,1,1,2,1,2,9,1,0,2015,5,30.29596389,-95.37448889,0,0,998,0,0,2
48,9,1,2,2,1,2,9,1,0,2015,5,30.29596389,-95.37448889,0,0,998,0,0,2
48,10,1,1,2,2,19,30,1,23,2015,6,30.16416667,-97.50788056,0,0,998,0,0,2
48,10,1,2,2,2,19,30,1,23,2015,6,30.16416667,-97.50788056,0,0,998,0,0,2
48,10,1,3,2,2,19,30,1,23,2015,6,30.16416667,-97.50788056,0,0,998,0,0,2
48,11,1,1,2,2,2,29,1,0,2015,6,29.42930833,-98.53950556,0,0,998,93,0,2
48,12,1,1,4,2,5,50,1,0,2015,6,32.06888889,-102.445,0,1,998,0,0,4
48,13,1,1,10,2,7,42,1,0,2015,6,31.7928,-106.2555417,0,0,998,0,0,0
48,13,2,1,10,2,7,42,1,0,2015,6,31.7928,-106.2555417,0,0,998,0,0,1
48,14,1,1,2,2,8,23,1,0,2015,6,30.35316944,-95.99564167,8,0,998,0,0,2
48,14,2,1,2,2,8,23,1,0,2015,6,30.35316944,-95.99564167,8,0,998,0,0,2
48,15,1,1,2,2,13,17,1,0,2015,6,28.82216111,-95.683625,0,1,998,0,0,11
48,15,1,2,2,2,13,17,1,0,2015,6,28.82216111,-95.683625,0,1,998,0,0,11
48,16,1,1,2,2,17,5,1,0,2015,6,30.948375,-95.54981944,0,1,998,0,0,2
48,17,1,1,3,2,12,50,1,0,2015,6,31.89118611,-102.8654583,6,1,998,0,0,4
48,17,1,2,3,2,12,50,1,0,2015,6,31.89118611,-102.8654583,6,1,998,0,0,4
48,17,1,3,3,2,12,50,1,0,2015,6,31.89118611,-102.8654583,6,1,998,0,0,4
48,17,1,4,3,2,12,50,1,0,2015,6,31.89118611,-102.8654583,6,1,998,0,0,4
48,17,2,1,3,2,12,50,1,0,2015,6,31.89118611,-102.8654583,6,1,998,0,0,4
48,17,2,2,3,2,12,50,1,0,2015,6,31.89118611,-102.8654583,6,1,998,0,0,4
48,18,1,1,2,3,7,26,1,0,2015,7,29.52986667,-98.60310833,0,1,998,98,0,2
48,19,1,1,1,3,22,28,1,0,2015,7,32.76737778,-96.87772778,0,0,998,0,0,1
48,19,1,2,1,3,22,28,1,0,2015,7,32.76737778,-96.87772778,0,0,998,0,0,1
