statenum,casenum,vnumber,pnumber,atmcond,accday,acchr,accmin,accmon,arf1,caseyear,dayofweek,latitude,longitude,manncol,speeding,travspd,dridistract,drivisobs,surfcond
,,,,,,,,,,,,,,,,,,,
48,1,1,1,1,1,5,53,1,0,2010,6,29.75174167,-96.60514167,0,0,998,0,0,1
48,1,1,2,1,1,5,53,1,0,2010,6,29.75174167,-96.60514167,0,0,998,0,0,1
48,1,1,3,1,1,5,53,1,0,2010,6,29.75174167,-96.60514167,0,0,998,0,0,1
48,1,1,4,1,1,5,53,1,0,2010,6,29.75174167,-96.60514167,0,0,998,0,0,1
48,1,1,5,1,1,5,53,1,0,2010,6,29.75174167,-96.60514167,0,0,998,0,0,1
48,1,1,6,1,1,5,53,1,0,2010,6,29.75174167,-96.60514167,0,0,998,0,0,1
48,2,1,1,1,1,0,45,1,0,2010,6,29.54003056,-95.72157222,2,0,998,0,0,1
48,2,2,1,1,1,0,45,1,0,2010,6,29.54003056,-95.72157222,2,0,998,0,0,1
48,2,2,2,1,1,0,45,1,0,2010,6,29.54003056,-95.72157222,2,0,998,0,0,1
48,3,1,1,1,1,23,35,1,0,2010,6,26.31072778,-98.35721111,1,1,998,0,0,1
48,3,1,2,1,1,23,35,1,0,2010,6,26.31072778,-98.35721111,1,1,998,0,0,1
48,3,1,3,1,1,23,35,1,0,2010,6,26.31072778,-98.35721111,1,1,998,0,0,1
48,3,1,4,1,1,23,35,1,0,2010,6,26.31072778,-98.35721111,1,1,998,0,0,1
48,3,1,5,1,1,23,35,1,0,2010,6,26.31072778,-98.35721111,1,1,998,0,0,1
48,3,1,6,1,1,23,35,1,0,2010,6,26.31072778,-98.35721111,1,1,998,0,0,1
48,3,2,1,1,1,23,35,1,0,2010,6,26.31072778,-98.35721111,1,1,998,0,0,1
48,4,1,1,1,1,0,26,1,0,2010,6,28.11256667,-97.92755833,0,1,998,0,0,1
48,4,1,2,1,1,0,26,1,0,2010,6,28.11256667,-97.92755833,0,1,998,0,0,1
