statenum,casenum,vnumber,pnumber,atmcond,accday,acchr,accmin,accmon,arf1,caseyear,dayofweek,latitude,longitude,manncol,speeding,travspd,dridistract,drivisobs,surfcond
,,,,,,,,,,,,,,,,,,,
48,1,1,1,5,1,4,36,1,0,2012,1,26.09780278,-97.6417,0,0,998,0,0,1
48,1,1,2,5,1,4,36,1,0,2012,1,26.09780278,-97.6417,0,0,998,0,0,1
48,1,1,3,5,1,4,36,1,0,2012,1,26.09780278,-97.6417,0,0,998,0,0,1
48,1,1,4,5,1,4,36,1,0,2012,1,26.09780278,-97.6417,0,0,998,0,0,1
48,2,1,1,1,1,14,15,1,0,2012,1,32.77851944,-96.89530556,6,1,998,0,0,1
48,2,1,2,1,1,14,15,1,0,2012,1,32.77851944,-96.89530556,6,1,998,0,0,1
48,2,2,1,1,1,14,15,1,0,2012,1,32.77851944,-96.89530556,6,1,998,0,0,1
48,3,1,1,1,1,7,18,1,0,2012,1,32.77684167,-96.62436667,0,0,998,93,0,1
48,4,1,1,1,1,18,45,1,0,2012,1,29.69675278,-95.30761667,0,0,998,0,0,1
48,4,1,2,1,1,18,45,1,0,2012,1,29.69675278,-95.30761667,0,0,998,0,0,1
48,5,1,1,1,1,11,22,1,0,2012,1,30.88492222,-96.79913056,0,0,998,0,0,1
48,6,1,1,10,1,1,35,1,0,2012,1,30.308275,-95.468275,0,0,998,0,0,1
48,7,1,1,1,1,5,7,1,0,2012,1,30.15504722,-97.79086944,0,0,998,0,0,1
48,7,1,2,1,1,5,7,1,0,2012,1,30.15504722,-97.79086944,0,0,998,0,0,1
48,8,1,1,1,2,10,29,1,0,2012,2,33.12340278,-96.41004167,0,0,998,0,0,1
48,9,1,1,1,2,16,0,1,0,2012,2,30.12831389,-95.40004444,0,0,998,0,0,10
48,10,1,1,1,2,21,40,1,23,2012,2,30.370675,-95.48513611,1,1,998,0,0,1
48,10,2,1,1,2,21,40,1,23,2012,2,30.370675,-95.48513611,1,1,0,0,0,1
48,11,1,1,1,2,2,0,1,0,2012,2,30.17813611,-97.74721944,0,0,998,0,0,1
48,12,1,1,1,3,18,43,1,0,2012,3,29.31510833,-98.47565833,0,0,998,0,0,1
48,13,1,1,1,3,1,0,1,0,2012,3,32.537075,-94.82757778,0,1,998,0,0,1
48,14,1,1,1,3,16,40,1,0,2012,3,30.70355278,-94.02504722,0,0,998,0,0,1
48,14,2,1,1,3,16,40,1,0,2012,3,30.70355278,-94.02504722,0,0,998,0,0,1
48,15,1,1,1,3,18,10,1,0,2012,3,27.69276944,-99.04531389,2,0,998,93,0,1
48,15,2,1,1,3,18,10,1,0,2012,3,27.69276944,-99.04531389,2,0,998,0,0,1
48,16,1,1,1,4,13,0,1,0,2012,4,29.39113889,-98.51780833,0,0,998,3,0,1
48,16,1,2,1,4,13,0,1,0,2012,4,29.39113889,-98.51780833,0,0,998,3,0,1
48,17,1,1,1,4,7,33,1,0,2012,4,30.650925,-96.41130833,0,0,998,92,0,1
48,17,1,2,1,4,7,33,1,0,2012,4,30.650925,-96.41130833,0,0,998,92,0,1
48,17,1,3,1,4,7,33,1,0,2012,4,30.650925,-96.41130833,0,0,998,92,0,1
48,18,1,1,1,4,2,50,1,0,2012,4,32.87465556,-96.93361389,0,1,998,0,0,1
48,18,1,2,1,4,2,50,1,0,2012,4,32.87465556,-96.93361389,0,1,998,0,0,1
48,18,1,3,1,4,2,50,1,0,2012,4,32.87465556,-96.93361389,0,1,998,0,0,1
