statenum,casenum,vnumber,pnumber,atmcond,accday,acchr,accmin,accmon,arf1,caseyear,dayofweek,latitude,longitude,manncol,speeding,travspd,dridistract,drivisobs,surfcond
,,,,,,,,,,,,,,,,,,,
48,1,1,1,2,1,7,36,1,0,2013,3,32.96073056,-96.77856667,0,1,998,0,0,2
48,1,1,2,2,1,7,36,1,0,2013,3,32.96073056,-96.77856667,0,1,998,0,0,2
48,2,1,1,1,1,4,0,1,0,2013,3,28.46109167,-99.78046389,0,1,998,0,0,1
48,3,1,1,2,1,5,50,1,0,2013,3,29.62106389,-95.62978611,0,0,998,0,0,2
48,3,1,2,2,1,5,50,1,0,2013,3,29.62106389,-95.62978611,0,0,998,0,0,2
48,4,1,1,1,1,22,45,1,0,2013,3,29.77192222,-95.78630278,1,1,998,0,0,1
48,4,2,1,1,1,22,45,1,0,2013,3,29.77192222,-95.78630278,1,1,998,0,0,1
48,4,2,2,1,1,22,45,1,0,2013,3,29.77192222,-95.78630278,1,1,998,0,0,1
48,4,2,3,1,1,22,45,1,0,2013,3,29.77192222,-95.78630278,1,1,998,0,0,1
48,4,2,4,1,1,22,45,1,0,2013,3,29.77192222,-95.78630278,1,1,998,0,0,1
48,5,1,1,1,1,23,50,1,0,2013,3,32.68593889,-97.78921111,0,1,998,0,0,1
48,6,1,1,2,1,2,56,1,0,2013,3,32.71785833,-97.16894722,0,1,998,0,0,2
48,7,1,1,10,1,17,15,1,0,2013,3,30.26975278,-97.68783889,0,1,998,0,0,1
48,7,1,2,10,1,17,15,1,0,2013,3,30.26975278,-97.68783889,0,1,998,0,0,1
48,8,1,1,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,2,1,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,2,2,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,2,3,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,2,4,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,2,5,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,3,1,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,4,1,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,4,2,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,5,1,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,5,2,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,5,3,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,8,5,4,1,2,16,33,1,0,2013,4,29.74084722,-95.64416111,8,0,998,0,0,1
48,10,1,1,1,3,6,0,1,0,2013,5,33.63244444,-98.49941944,0,0,998,0,0,1
48,11,1,1,1,3,2,45,1,0,2013,5,29.72987778,-95.45628056,0,1,998,0,0,1
48,12,1,1,4,3,17,8,1,0,2013,5,31.20535833,-105.462175,6,1,998,0,0,3
48,12,2,1,4,3,17,8,1,0,2013,5,31.20535833,-105.462175,6,1,998,0,0,3
48,12,2,2,4,3,17,8,1,0,2013,5,31.20535833,-105.462175,6,1,998,0,0,3
48,12,2,3,4,3,17,8,1,0,2013,5,31.20535833,-105.462175,6,1,998,0,0,3
