statenum,casenum,vnumber,pnumber,atmcond,accday,acchr,accmin,accmon,arf1,caseyear,dayofweek,latitude,longitude,manncol,speeding,travspd,dridistract,drivisobs,surfcond
,,,,,,,,,,,,,,,,,,,
48,1,1,1,1,1,22,55,1,0,2011,7,31.84510556,-102.4831361,6,0,998,0,0,1
48,1,1,2,1,1,22,55,1,0,2011,7,31.84510556,-102.4831361,6,0,998,0,0,1
48,1,2,1,1,1,22,55,1,0,2011,7,31.84510556,-102.4831361,6,0,998,0,0,1
48,2,1,1,10,1,2,51,1,0,2011,7,31.80636389,-106.2678056,6,0,998,0,0,1
48,2,2,1,10,1,2,51,1,0,2011,7,31.80636389,-106.2678056,6,0,998,0,0,1
48,3,1,1,10,1,1,7,1,0,2011,7,29.82799444,-95.75676667,0,0,998,0,0,1
48,3,1,2,10,1,1,7,1,0,2011,7,29.82799444,-95.75676667,0,0,998,0,0,1
48,3,1,3,10,1,1,7,1,0,2011,7,29.82799444,-95.75676667,0,0,998,0,0,1
48,4,1,1,1,1,2,20,1,0,2011,7,30.00440556,-95.55404167,0,1,998,0,0,1
48,5,1,1,1,1,20,6,1,0,2011,7,29.91765833,-95.30685556,0,0,998,99,99,1
48,5,2,1,1,1,20,6,1,0,2011,7,29.91765833,-95.30685556,0,0,998,1,0,1
48,5,2,2,1,1,20,6,1,0,2011,7,29.91765833,-95.30685556,0,0,998,1,0,1
48,5,2,3,1,1,20,6,1,0,2011,7,29.91765833,-95.30685556,0,0,998,1,0,1
48,5,2,4,1,1,20,6,1,0,2011,7,29.91765833,-95.30685556,0,0,998,1,0,1
48,5,2,5,1,1,20,6,1,0,2011,7,29.91765833,-95.30685556,0,0,998,1,0,1
48,6,1,1,1,1,21,24,1,0,2011,7,29.84311111,-95.49536389,0,0,998,0,0,1
48,7,1,1,1,1,3,34,1,0,2011,7,26.35940556,-98.30137222,6,1,998,0,0,1
48,7,1,2,1,1,3,34,1,0,2011,7,26.35940556,-98.30137222,6,1,998,0,0,1
48,7,2,1,1,1,3,34,1,0,2011,7,26.35940556,-98.30137222,6,1,998,0,0,1
48,7,2,2,1,1,3,34,1,0,2011,7,26.35940556,-98.30137222,6,1,998,0,0,1
48,7,2,3,1,1,3,34,1,0,2011,7,26.35940556,-98.30137222,6,1,998,0,0,1
48,8,1,1,1,1,6,29,1,0,2011,7,29.04320833,-96.52518333,0,0,998,0,0,1
48,8,1,2,1,1,6,29,1,0,2011,7,29.04320833,-96.52518333,0,0,998,0,0,1
48,8,1,3,1,1,6,29,1,0,2011,7,29.04320833,-96.52518333,0,0,998,0,0,1
48,8,1,4,1,1,6,29,1,0,2011,7,29.04320833,-96.52518333,0,0,998,0,0,1
48,8,1,5,1,1,6,29,1,0,2011,7,29.04320833,-96.52518333,0,0,998,0,0,1
48,9,1,1,10,1,3,41,1,0,2011,7,32.46890833,-95.38792222,1,1,0,0,0,1
48,9,2,1,10,1,3,41,1,0,2011,7,32.46890833,-95.38792222,1,1,998,0,0,1
48,9,3,1,10,1,3,41,1,0,2011,7,32.46890833,-95.38792222,1,1,0,0,0,1
48,9,3,2,10,1,3,41,1,0,2011,7,32.46890833,-95.38792222,1,1,0,0,0,1
48,9,3,3,10,1,3,41,1,0,2011,7,32.46890833,-95.38792222,1,1,0,0,0,1
48,9,3,4,10,1,3,41,1,0,2011,7,32.46890833,-95.38792222,1,1,0,0,0,1
48,9,3,5,10,1,3,41,1,0,2011,7,32.46890833,-95.38792222,1,1,0,0,0,1
48,9,3,6,10,1,3,41,1,0,2011,7,32.46890833,-95.38792222,1,1,0,0,0,1
48,10,1,1,1,1,21,25,1,0,2011,7,26.40198333,-98.93157222,0,0,998,0,0,1
48,10,1,2,1,1,21,25,1,0,2011,7,26.40198333,-98.93157222,0,0,998,0,0,1
48,11,1,1,10,3,12,15,1,0,2011,2,29.537475,-98.42459722,1,1,0,0,0,1
48,11,2,1,10,3,12,15,1,0,2011,2,29.537475,-98.42459722,1,1,998,97,0,1
48,12,1,1,10,3,8,37,1,0,2011,2,30.28162778,-98.40605278,0,1,998,0,0,1
48,13,1,1,10,3,16,57,1,0,2011,2,30.54858611,-98.31403333,0,0,998,0,0,1
48,14,1,1,1,3,2,36,1,0,2011,2,32.64366667,-96.88893333,0,0,998,0,0,1
48,15,1,1,10,3,17,46,1,0,2011,2,31.53289722,-96.05908889,0,1,998,0,0,1
48,16,1,1,1,3,14,40,1,0,2011,2,33.141825,-96.10718056,0,1,998,0,0,0
48,16,1,2,1,3,14,40,1,0,2011,2,33.141825,-96.10718056,0,1,998,0,0,0
48,18,1,1,1,4,13,26,1,0,2011,3,32.81347778,-96.83956389,0,0,998,0,2,99
48,19,1,1,10,4,6,25,1,0,2011,3,29.84936944,-95.47666389,6,0,998,0,0,2
48,19,2,1,10,4,6,25,1,0,2011,3,29.84936944,-95.47666389,6,0,998,0,0,99
48,19,2,2,10,4,6,25,1,0,2011,3,29.84936944,-95.47666389,6,0,998,0,0,99
48,20,1,1,10,4,11,21,1,0,2011,3,29.82243889,-95.60841389,6,0,998,0,0,1
48,20,2,1,10,4,11,21,1,0,2011,3,29.82243889,-95.60841389,6,0,998,0,0,1
48,20,3,1,10,4,11,21,1,0,2011,3,29.82243889,-95.60841389,6,0,998,0,0,1
48,21,1,1,10,4,10,37,1,0,2011,3,28.94076667,-96.64443333,0,0,998,0,0,1
48,22,1,1,10,4,20,58,1,0,2011,3,27.82707778,-97.55090833,0,0,998,0,0,1
48,23,1,1,1,4,6,8,1,0,2011,3,30.89815833,-102.9046389,0,0,998,0,0,1
48,24,1,1,1,4,5,10,1,0,2011,3,33.204675,-97.567325,6,0,998,0,0,1
48,24,2,1,1,4,5,10,1,0,2011,3,33.204675,-97.567325,6,0,998,0,0,1
48,25,1,1,1,5,16,55,1,0,2011,4,29.30875833,-98.55503889,6,1,998,0,0,1
48,25,1,2,1,5,16,55,1,0,2011,4,29.30875833,-98.55503889,6,1,998,0,0,1
48,25,1,3,1,5,16,55,1,0,2011,4,29.30875833,-98.55503889,6,1,998,0,0,1
48,25,2,1,1,5,16,55,1,0,2011,4,29.30875833,-98.55503889,6,1,998,0,0,10
48,25,2,2,1,5,16,55,1,0,2011,4,29.30875833,-98.55503889,6,1,998,0,0,10
48,25,2,3,1,5,16,55,1,0,2011,4,29.30875833,-98.55503889,6,1,998,0,0,10
48,26,1,1,1,5,18,45,1,0,2011,4,30.79659167,-98.30773611,0,0,998,0,0,1
48,27,1,1,1,5,1,17,1,0,2011,4,25.90324444,-97.44905556,0,0,998,0,0,1
48,28,1,1,1,5,8,33,1,0,2011,4,31.4804,-106.1325611,0,0,998,0,0,1
48,29,1,1,1,5,17,5,1,0,2011,4,29.711525,-95.68457222,1,1,998,0,0,1
48,29,2,1,1,5,17,5,1,0,2011,4,29.711525,-95.68457222,1,1,0,0,0,1
48,29,3,1,1,5,17,5,1,0,2011,4,29.711525,-95.68457222,1,1,998,0,0,1
48,29,3,2,1,5,17,5,1,0,2011,4,29.711525,-95.68457222,1,1,998,0,0,1
48,29,3,3,1,5,17,5,1,0,2011,4,29.711525,-95.68457222,1,1,998,0,0,1
48,30,1,1,1,5,11,58,1,0,2011,4,31.80066667,-94.67850278,6,1,998,0,6,1
48,30,2,1,1,5,11,58,1,0,2011,4,31.80066667,-94.67850278,6,1,998,0,0,1
48,30,2,2,1,5,11,58,1,0,2011,4,31.80066667,-94.67850278,6,1,998,0,0,1
48,31,1,1,1,5,18,59,1,0,2011,4,27.71063611,-97.38686667,0,0,998,0,0,1
48,32,1,1,1,5,14,10,1,0,2011,4,31.95498056,-94.23739167,6,0,998,0,0,0
48,32,2,1,1,5,14,10,1,0,2011,4,31.95498056,-94.23739167,6,0,998,0,0,1
48,32,3,1,1,5,14,10,1,0,2011,4,31.95498056,-94.23739167,6,0,998,0,0,1
48,33,1,1,1,5,8,38,1,0,2011,4,30.29230278,-97.52306944,6,1,998,0,0,2
48,33,2,1,1,5,8,38,1,0,2011,4,30.29230278,-97.52306944,6,1,998,0,0,2
48,34,1,1,1,6,6,2,1,0,2011,5,27.76716944,-97.45260556,0,0,998,0,0,1
48,35,1,1,1,6,13,54,1,0,2011,5,31.44634167,-100.3368028,0,1,998,0,0,1
48,36,1,1,1,7,20,39,1,0,2011,6,29.20454722,-98.41783056,0,1,998,0,0,1
48,37,1,1,1,7,15,18,1,0,2011,6,31.77330556,-98.95146389,6,0,998,92,0,1
48,37,2,1,1,7,15,18,1,0,2011,6,31.77330556,-98.95146389,6,0,998,0,0,1
48,37,2,2,1,7,15,18,1,0,2011,6,31.77330556,-98.95146389,6,0,998,0,0,1
48,38,1,1,1,7,9,5,1,0,2011,6,33.04088611,-96.70253611,0,0,998,0,0,1
48,39,1,1,1,7,23,25,1,0,2011,6,29.69452778,-95.64381389,0,0,998,0,0,1
48,39,1,2,1,7,23,25,1,0,2011,6,29.69452778,-95.64381389,0,0,998,0,0,1
48,40,1,1,1,7,17,42,1,0,2011,6,30.91883611,-93.97965,6,0,998,92,0,1
48,40,2,1,1,7,17,42,1,0,2011,6,30.91883611,-93.97965,6,0,998,0,0,1
48,40,2,2,1,7,17,42,1,0,2011,6,30.91883611,-93.97965,6,0,998,0,0,1
48,41,1,1,1,7,13,54,1,0,2011,6,27.71292778,-97.44646667,0,0,998,0,0,1
48,42,1,1,1,7,21,7,1,0,2011,6,30.77598611,-97.87729722,2,0,998,0,0,1
48,42,2,1,1,7,21,7,1,0,2011,6,30.77598611,-97.87729722,2,0,998,0,0,1
48,43,1,1,1,8,15,15,1,0,2011,7,29.81301944,-95.26978056,6,0,998,0,0,1
48,43,1,2,1,8,15,15,1,0,2011,7,29.81301944,-95.26978056,6,0,998,0,0,1
48,43,2,1,1,8,15,15,1,0,2011,7,29.81301944,-95.26978056,6,0,998,0,0,1
