statenum,casenum,vnumber,pnumber,atmcond,accday,acchr,accmin,accmon,arf1,caseyear,dayofweek,latitude,longitude,manncol,speeding,travspd,dridistract,drivisobs,surfcond
,,,,,,,,,,,,,,,,,,,
48,1,1,1,1,1,4,22,1,19,2014,4,29.58704444,-98.63041111,1,0,998,0,0,1
48,1,1,2,1,1,4,22,1,19,2014,4,29.58704444,-98.63041111,1,0,998,0,0,1
48,2,1,1,1,1,0,20,1,0,2014,4,32.68372222,-96.81440556,0,1,998,0,0,1
48,3,1,1,1,1,15,11,1,0,2014,4,32.97686389,-96.66528056,6,0,998,0,0,0
48,3,1,2,1,1,15,11,1,0,2014,4,32.97686389,-96.66528056,6,0,998,0,0,0
48,3,2,1,1,1,15,11,1,0,2014,4,32.97686389,-96.66528056,6,0,998,0,0,1
48,3,2,2,1,1,15,11,1,0,2014,4,32.97686389,-96.66528056,6,0,998,0,0,1
48,4,1,1,10,1,3,39,1,0,2014,4,29.68826667,-95.82475556,0,0,998,0,0,1
48,5,1,1,1,1,4,0,1,0,2014,4,29.38846111,-97.28473056,0,1,998,0,0,1
48,6,1,1,1,1,1,0,1,0,2014,4,29.75052222,-95.37258889,6,0,998,0,0,1
48,6,1,2,1,1,1,0,1,0,2014,4,29.75052222,-95.37258889,6,0,998,0,0,1
48,6,2,1,1,1,1,0,1,0,2014,4,29.75052222,-95.37258889,6,0,998,0,0,1
48,6,2,2,1,1,1,0,1,0,2014,4,29.75052222,-95.37258889,6,0,998,0,0,1
48,7,1,1,1,1,2,25,1,0,2014,4,29.73770556,-95.49255,0,0,998,0,0,1
48,7,1,2,1,1,2,25,1,0,2014,4,29.73770556,-95.49255,0,0,998,0,0,1
48,7,1,3,1,1,2,25,1,0,2014,4,29.73770556,-95.49255,0,0,998,0,0,1
48,7,1,4,1,1,2,25,1,0,2014,4,29.73770556,-95.49255,0,0,998,0,0,1
48,7,1,5,1,1,2,25,1,0,2014,4,29.73770556,-95.49255,0,0,998,0,0,1
48,8,1,1,1,1,1,40,1,0,2014,4,29.71057778,-95.64861944,0,0,998,0,0,1
48,9,1,1,1,1,4,14,1,0,2014,4,32.42212222,-97.67079722,0,1,998,0,0,1
48,10,1,1,1,1,8,14,1,0,2014,4,32.85668056,-96.14926111,6,0,998,0,0,1
48,10,2,1,1,1,8,14,1,0,2014,4,32.85668056,-96.14926111,6,0,998,0,0,1
48,11,1,1,1,1,14,36,1,0,2014,4,32.86211111,-99.70778889,0,1,998,0,0,1
48,12,1,1,1,1,12,15,1,0,2014,4,34.04196944,-102.4074694,6,0,998,0,0,98
48,12,2,1,1,1,12,15,1,0,2014,4,34.04196944,-102.4074694,6,0,998,0,0,1
48,13,1,1,1,1,5,35,1,0,2014,4,31.08046944,-103.1974,2,0,998,0,0,1
48,13,2,1,1,1,5,35,1,0,2014,4,31.08046944,-103.1974,2,0,998,0,0,1
48,14,1,1,1,1,21,35,1,0,2014,4,33.13268056,-94.90891944,0,1,998,0,0,1
48,15,1,1,10,1,4,0,1,0,2014,4,30.89683056,-94.42253056,0,0,998,99,99,1
48,16,1,1,1,2,6,30,1,0,2014,5,33.19416944,-96.56146944,1,0,998,0,0,1
48,16,2,1,1,2,6,30,1,0,2014,5,33.19416944,-96.56146944,1,0,998,6,0,1
48,17,1,1,1,2,22,28,1,0,2014,5,30.17558611,-95.81000278,0,1,998,0,0,1
48,18,1,1,1,3,6,40,1,0,2014,6,32.06036944,-95.54763056,2,0,998,0,0,1
48,18,2,1,1,3,6,40,1,0,2014,6,32.06036944,-95.54763056,2,0,998,6,0,1
48,19,1,1,1,3,7,30,1,0,2014,6,29.54081944,-98.49183611,0,0,998,0,0,1
48,20,1,1,1,3,9,40,1,0,2014,6,33.96726944,-101.8535306,0,1,998,0,0,1
48,21,1,1,1,3,16,25,1,0,2014,6,30.317025,-94.25261111,6,0,998,93,0,1
48,21,1,2,1,3,16,25,1,0,2014,6,30.317025,-94.25261111,6,0,998,93,0,1
48,21,1,3,1,3,16,25,1,0,2014,6,30.317025,-94.25261111,6,0,998,93,0,1
48,21,1,4,1,3,16,25,1,0,2014,6,30.317025,-94.25261111,6,0,998,93,0,1
48,21,2,1,1,3,16,25,1,0,2014,6,30.317025,-94.25261111,6,0,998,0,0,1
48,22,1,1,1,3,11,9,1,0,2014,6,33.26785278,-98.17416389,0,0,998,92,0,1
48,23,1,1,1,3,22,26,1,0,2014,6,32.37479722,-100.3630306,0,1,998,0,0,1
48,23,1,2,1,3,22,26,1,0,2014,6,32.37479722,-100.3630306,0,1,998,0,0,1
48,24,1,1,1,3,23,0,1,0,2014,6,32.37168611,-95.05724444,0,0,998,0,0,1
48,24,1,2,1,3,23,0,1,0,2014,6,32.37168611,-95.05724444,0,0,998,0,0,1
48,24,1,3,1,3,23,0,1,0,2014,6,32.37168611,-95.05724444,0,0,998,0,0,1
48,24,1,4,1,3,23,0,1,0,2014,6,32.37168611,-95.05724444,0,0,998,0,0,1
48,24,1,5,1,3,23,0,1,0,2014,6,32.37168611,-95.05724444,0,0,998,0,0,1
48,24,1,6,1,3,23,0,1,0,2014,6,32.37168611,-95.05724444,0,0,998,0,0,1
48,25,1,1,1,3,1,50,1,0,2014,6,30.21701111,-97.7518,6,0,998,0,0,1
48,25,1,2,1,3,1,50,1,0,2014,6,30.21701111,-97.7518,6,0,998,0,0,1
48,25,2,1,1,3,1,50,1,0,2014,6,30.21701111,-97.7518,6,0,998,0,0,1
48,25,2,2,1,3,1,50,1,0,2014,6,30.21701111,-97.7518,6,0,998,0,0,1
48,26,1,1,1,3,17,9,1,0,2014,6,33.89141667,-98.51068056,1,0,998,0,0,1
48,26,2,1,1,3,17,9,1,0,2014,6,33.89141667,-98.51068056,1,0,998,0,0,1
48,26,2,2,1,3,17,9,1,0,2014,6,33.89141667,-98.51068056,1,0,998,0,0,1
48,26,3,1,1,3,17,9,1,0,2014,6,33.89141667,-98.51068056,1,0,998,0,0,1
48,26,3,2,1,3,17,9,1,0,2014,6,33.89141667,-98.51068056,1,0,998,0,0,1
48,26,3,3,1,3,17,9,1,0,2014,6,33.89141667,-98.51068056,1,0,998,0,0,1
48,26,4,1,1,3,17,9,1,0,2014,6,33.89141667,-98.51068056,1,0,998,12,0,1
48,27,1,1,1,3,21,20,1,0,2014,6,29.27373611,-98.05523889,0,0,998,0,0,1
48,28,1,1,1,4,19,12,1,0,2014,7,31.11087222,-97.74683611,0,0,998,0,0,1
48,29,1,1,1,4,20,40,1,0,2014,7,31.14966944,-97.93645278,0,0,998,0,0,1
48,30,1,1,1,4,8,4,1,0,2014,7,34.934575,-102.2047333,0,0,998,0,0,1
48,30,1,2,1,4,8,4,1,0,2014,7,34.934575,-102.2047333,0,0,998,0,0,1
48,31,1,1,1,4,0,35,1,3,2014,7,32.46018056,-98.64115,0,0,998,0,0,1
48,31,1,2,1,4,0,35,1,3,2014,7,32.46018056,-98.64115,0,0,998,0,0,1
48,31,1,3,1,4,0,35,1,3,2014,7,32.46018056,-98.64115,0,0,998,0,0,1
48,31,1,4,1,4,0,35,1,3,2014,7,32.46018056,-98.64115,0,0,998,0,0,1
48,31,1,5,1,4,0,35,1,3,2014,7,32.46018056,-98.64115,0,0,998,0,0,1
48,31,1,6,1,4,0,35,1,3,2014,7,32.46018056,-98.64115,0,0,998,0,0,1
48,32,1,1,1,4,23,57,1,0,2014,7,32.40456667,-96.82244444,0,0,998,0,0,1
48,32,1,2,1,4,23,57,1,0,2014,7,32.40456667,-96.82244444,0,0,998,0,0,1
48,32,1,3,1,4,23,57,1,0,2014,7,32.40456667,-96.82244444,0,0,998,0,0,1
48,32,1,4,1,4,23,57,1,0,2014,7,32.40456667,-96.82244444,0,0,998,0,0,1
48,32,1,5,1,4,23,57,1,0,2014,7,32.40456667,-96.82244444,0,0,998,0,0,1
48,33,1,1,1,4,0,1,1,0,2014,7,31.84153056,-96.29201944,1,1,998,0,0,1
48,33,2,1,1,4,0,1,1,0,2014,7,31.84153056,-96.29201944,1,1,998,0,0,1
48,34,1,1,1,4,5,30,1,0,2014,7,29.73426667,-95.37067778,0,0,998,0,0,1
48,35,1,1,1,4,10,35,1,0,2014,7,30.8584,-97.1394,0,1,998,0,0,1
48,36,1,1,1,4,17,0,1,0,2014,7,31.83034722,-93.932825,0,0,998,0,0,1
48,37,1,1,1,4,1,5,1,0,2014,7,26.40833056,-98.97595,0,0,998,0,0,1
48,37,1,2,1,4,1,5,1,0,2014,7,26.40833056,-98.97595,0,0,998,0,0,1
48,38,1,1,10,4,16,15,1,0,2014,7,33.10916944,-95.0231,2,1,998,0,0,1
48,38,2,1,10,4,16,15,1,0,2014,7,33.10916944,-95.0231,2,1,998,0,0,1
48,38,2,2,10,4,16,15,1,0,2014,7,33.10916944,-95.0231,2,1,998,0,0,1
48,38,2,3,10,4,16,15,1,0,2014,7,33.10916944,-95.0231,2,1,998,0,0,1
48,38,2,4,10,4,16,15,1,0,2014,7,33.10916944,-95.0231,2,1,998,0,0,1
48,39,1,1,1,5,2,52,1,0,2014,1,29.45453889,-98.48183889,0,0,998,93,0,1
48,40,1,1,1,5,9,20,1,0,2014,1,31.34425,-105.9235806,0,0,998,0,0,1
48,40,1,2,1,5,9,20,1,0,2014,1,31.34425,-105.9235806,0,0,998,0,0,1
48,41,1,1,1,5,21,38,1,0,2014,1,31.60889167,-94.64111944,6,0,998,0,0,1
48,41,1,2,1,5,21,38,1,0,2014,1,31.60889167,-94.64111944,6,0,998,0,0,1
48,41,2,1,1,5,21,38,1,0,2014,1,31.60889167,-94.64111944,6,0,998,0,0,1
48,42,1,1,1,5,0,54,1,0,2014,1,27.86324722,-97.68546389,0,0,998,0,0,1
48,42,1,2,1,5,0,54,1,0,2014,1,27.86324722,-97.68546389,0,0,998,0,0,1
48,43,1,1,1,6,23,5,1,0,2014,2,29.65108056,-95.20513333,6,1,998,0,0,1
48,43,2,1,1,6,23,5,1,0,2014,2,29.65108056,-95.20513333,6,1,998,0,0,1
48,43,2,2,1,6,23,5,1,0,2014,2,29.65108056,-95.20513333,6,1,998,0,0,1
48,44,1,1,1,6,0,8,1,0,2014,2,34.03961111,-98.89906667,0,0,998,0,0,1
48,45,1,1,1,7,7,48,1,0,2014,3,29.36201389,-98.35751944,0,0,998,93,0,1
48,45,1,2,1,7,7,48,1,0,2014,3,29.36201389,-98.35751944,0,0,998,93,0,1
48,45,1,3,1,7,7,48,1,0,2014,3,29.36201389,-98.35751944,0,0,998,93,0,1
48,46,1,1,10,7,8,2,1,0,2014,3,28.68500278,-97.29304722,0,0,998,0,0,1
48,47,1,1,1,7,8,55,1,23,2014,3,29.78477778,-95.66837778,1,1,998,93,0,1
48,47,2,1,1,7,8,55,1,23,2014,3,29.78477778,-95.66837778,1,1,0,0,0,1
48,47,2,2,1,7,8,55,1,23,2014,3,29.78477778,-95.66837778,1,1,0,0,0,1
48,48,1,1,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,48,1,2,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,48,1,3,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,48,1,4,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,48,1,5,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,48,1,6,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,48,1,7,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,48,1,8,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,48,2,1,1,7,14,55,1,0,2014,3,30.01141944,-95.1363,6,0,998,0,0,1
48,49,1,1,1,7,6,40,1,23,2014,3,32.78179722,-97.46882778,0,0,998,0,0,1
48,50,1,1,1,8,19,52,1,0,2014,4,31.43549722,-94.889,6,0,998,0,0,1
48,50,2,1,1,8,19,52,1,0,2014,4,31.43549722,-94.889,6,0,998,0,0,1
48,51,1,1,2,8,23,50,1,0,2014,4,29.37541944,-98.45072778,0,1,998,0,0,2
